name,type,start_time,duration,"mosi","miso"
"SPI","disable",1.636492375,0.000000042,,
"SPI","enable",1.636527375,0.000000042,,
"SPI","result",1.636527875,0.000007542,0x08,0x2F
"SPI","result",1.636535875,0.000007542,0x00,0x2F
"SPI","disable",1.636544375,0.000000042,,
"SPI","enable",1.636579375,0.000000042,,
"SPI","result",1.636579875,0.000007542,0x09,0x2F
"SPI","result",1.636587875,0.000007542,0x00,0x2F
"SPI","disable",1.636596375,0.000000042,,
"SPI","enable",1.636631375,0.000000042,,
"SPI","result",1.636631875,0.000007583,0x0B,0x2F
"SPI","result",1.636639917,0.000007542,0x08,0x2F
"SPI","disable",1.636648417,0.000000042,,
"SPI","enable",1.636683417,0.000000042,,
"SPI","result",1.636683917,0.000007542,0x0C,0x2F
"SPI","result",1.636691917,0.000007542,0x00,0x2F
"SPI","disable",1.636700458,0.000000042,,
"SPI","enable",1.636735458,0.000000042,,
"SPI","result",1.636735958,0.000007542,0x0D,0x2F
"SPI","result",1.636743958,0.000007542,0x21,0x2F
"SPI","disable",1.636752458,0.000000042,,
"SPI","enable",1.636787458,0.000000042,,
"SPI","result",1.636787958,0.000007542,0x0E,0x2F
"SPI","result",1.636795958,0.000007542,0x6B,0x2F
"SPI","disable",1.636804458,0.000000042,,
"SPI","enable",1.636839458,0.000000042,,
"SPI","result",1.636839958,0.000007542,0x0F,0x2F
"SPI","result",1.636847958,0.000007542,0xD0,0x2F
"SPI","disable",1.636856458,0.000000042,,
"SPI","enable",1.636891458,0.000000042,,
"SPI","result",1.636891958,0.000007542,0x10,0x2F
"SPI","result",1.636899958,0.000007542,0x5C,0x2F
"SPI","disable",1.636908458,0.000000042,,
"SPI","enable",1.636943458,0.000000042,,
"SPI","result",1.636943958,0.000007542,0x11,0x2F
"SPI","result",1.636951958,0.000007542,0x0F,0x2F
"SPI","disable",1.636960458,0.000000042,,
"SPI","enable",1.6369955,0.000000042,,
"SPI","result",1.636996,0.000007542,0x12,0x2F
"SPI","result",1.637004,0.000007542,0x05,0x2F
"SPI","disable",1.6370125,0.000000042,,
"SPI","enable",1.6370475,0.000000042,,
"SPI","result",1.637048,0.000007542,0x13,0x2F
"SPI","result",1.637056,0.000007542,0x22,0x2F
"SPI","disable",1.637064542,0.000000042,,
"SPI","enable",1.637099542,0.000000042,,
"SPI","result",1.637100042,0.000007542,0x14,0x2F
"SPI","result",1.637108042,0.000007542,0xF8,0x2F
"SPI","disable",1.637116542,0.000000042,,
"SPI","enable",1.637151542,0.000000042,,
"SPI","result",1.637152042,0.000007542,0x15,0x2F
"SPI","result",1.637160042,0.000007542,0x50,0x2F
"SPI","disable",1.637168542,0.000000042,,
"SPI","enable",1.637203542,0.000000042,,
"SPI","result",1.637204042,0.000007542,0x16,0x2F
"SPI","result",1.637212042,0.000007542,0x07,0x2F
"SPI","disable",1.637220542,0.000000042,,
"SPI","enable",1.637255542,0.000000042,,
"SPI","result",1.637256042,0.000007542,0x17,0x2F
"SPI","result",1.637264042,0.000007542,0x30,0x2F
"SPI","disable",1.637272542,0.000000042,,
"SPI","enable",1.637307542,0.000000042,,
"SPI","result",1.637308042,0.000007542,0x18,0x2F
"SPI","result",1.637316042,0.000007542,0x18,0x2F
"SPI","disable",1.637324542,0.000000042,,
"SPI","enable",1.637359583,0.000000042,,
"SPI","result",1.637360083,0.000007542,0x19,0x2F
"SPI","result",1.637368083,0.000007542,0x16,0x2F
"SPI","disable",1.637376583,0.000000042,,
"SPI","enable",1.637411583,0.000000042,,
"SPI","result",1.637412083,0.000007542,0x1A,0x2F
"SPI","result",1.637420083,0.000007542,0x6C,0x2F
"SPI","disable",1.637428625,0.000000042,,
"SPI","enable",1.637463625,0.000000042,,
"SPI","result",1.637464125,0.000007542,0x1B,0x2F
"SPI","result",1.637472125,0.000007542,0x43,0x2F
"SPI","disable",1.637480625,0.000000042,,
"SPI","enable",1.637515625,0.000000042,,
"SPI","result",1.637516125,0.000007542,0x1C,0x2F
"SPI","result",1.637524125,0.000007542,0x40,0x2F
"SPI","disable",1.637532625,0.000000042,,
"SPI","enable",1.637567625,0.000000042,,
"SPI","result",1.637568125,0.000007542,0x1D,0x2F
"SPI","result",1.637576125,0.000007542,0x91,0x2F
"SPI","disable",1.637584625,0.000000042,,
